Aqua Spa, 14 Clement St (and Arguello Blvd), ‎(415) 666-3273
Artistic Nail & Spa, 1826 Divisadero St (and Bush St), (415) 572-2754
Bayview Nail Care, 3371 Mission St (near 30th St), (415) 282-3828
Castro Nail Salon, 431 Castro St (near Market St), (415) 252-1657
Finest Nails, 1128 Polk St (near Sutter St), (415) 359-1681
Glow Hand & Foot Spa, 1780 Fulton St (and Masonic Ave), (415) 674-9952
Haight Street Nails, 1795 Haight St (and Shrader St), (415) 221-8928
High Touch Nail Salon, 954 Irving St (and 11th Ave), (415) 556-1368
Le Trend Nail Salon, 783 Divisidero St (and Fulton), (415) 567-0162
Lombard Heights Nail Salon, 3288 Steiner (near Lombard), (415) 776-9688
Luxury Sensi Nails & Spa, 338 Judah St (near 8th ave), (415) 665-6245
Modern Nail Bar, 803 22nd St (near 3rd St), (415) 695-7472
Nail Arts, 1116 Irving St (and 12th Ave), (415) 664-5728
Nail Care For You, 1507 Grant Ave (and Union St), (415) 362-3347
New York Hair & Nail, 3483 Mission Street (and Cortland Ave), (415) 285-8679
Pampered Girl, 225 Gough St (near Oak St), (415) 431-4475
Rendez-Vous Nails, 3247 Sacramento St (near Presidio Ave), (415) 474-2205
Richmond Nails Salon, 5856 Geary Blvd (at 23rd Ave), (415) 876-3888
Salon Belle Linda, 4448 California Street (and 7th Ave), (415) 752-7958
Sol Y Luna Spa, 691 Monterey Blvd (and Gennessee St), (415) 469-7323 
Starlynn Beauty Lounge, 211 Steiner St (near Waller St), (415) 626-6264
T&T Nail Salon, 405 Arguello Blvd (and Clement St), (415) 750-0287
Tena Pro Nails, 2717 San Bruno Ave (and Bacon St), (415) 656-0202
Trio Nails, 1832 Buchanan St (and Bush St), (415) 931-9261
Two Sisters, 2266 Union Street (near Steiner St), (415) 921-3151
Zaza Nails, 543 2nd St (near Bryant St), (415) 495-6292 
Zen Day Spa, 775 Haight St (near Scott St), (415) 558-8886
